SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,ISIN_CODE
500002,ABB LTD.    ,A ,Q,1615.9,1670,1590.4,1657.3,INE117A01022
500003,AEGIS LOGIS ,A ,Q,250.1,250.1,244.4,249.65,INE208C01025
500008,AMAR RAJA BA,A ,Q,813.15,820.5,802.8,807.75,INE885A01032
500009,A.SARABHAI  ,XT,Q,12.61,12.61,12.3,12.56,INE432A01017
500010,HDFC        ,A ,Q,1937.9,1962.8,1918.85,1955.7,INE001A01036
500012,ANDHRA PETRO,X ,Q,69.25,71.8,66.25,70.45,INE714B01016
500013,ANSAL INFRAS,B ,Q,26,27.45,26,26.55,INE436A01026
500014,APPLE FINANC,X ,Q,3.6,3.67,3.45,3.46,INE096A01010
500020,BOM DYEING  ,A ,Q,230,236.9,223.95,227.85,INE032A01023
500023,ASIANHOTNR  ,B ,Q,255,275.8,242,264.1,INE363A01022
500024,ASSAMCO     ,T ,Q,4.93,5.1,4.91,4.96,INE442A01024
500027,ATUL LTD.   ,A ,Q,2794.05,2820,2697.6,2719.1,INE100A01010
500028,ATV PROJECTS,XT,Q,11.59,11.86,10.8,10.95,INE447A01015
500029,AUTOLITE(I) ,B ,Q,64.6,67.4,64.45,65.45,INE448A01013
500031,BAJAJ ELECT.,A ,Q,491,511.3,483.05,487.7,INE193E01025
500032,BAJAJHIND   ,A ,Q,14.2,14.55,14.15,14.25,INE306A01021
500033,FORCE MOTR  ,B ,Q,3112,3160,3030,3049.65,INE451A01017
500034,BAJFINANCE  ,A ,Q,1674,1688.5,1645.05,1677.5,INE296A01024
500038,BALRAM.CHINI,A ,Q,120.9,125.25,120.15,122.15,INE119A01028
500039,BANCO PROD. ,B ,Q,238,242.45,230,234.75,INE213C01025
500040,CENTURY TEXT,A ,Q,1390,1406.25,1378,1386.6,INE055A01016
500041,BANNARI AMAN,B ,Q,1897.9,1897.9,1830.05,1877.35,INE459A01010
500042,BASF INDIA  ,B ,Q,2122,2159.7,2120,2136.05,INE373A01013
500043,BATA INDIA  ,A ,Q,712.35,716.8,700,705.8,INE176A01028
500048,BEML LTD    ,A ,Q,1475.95,1491,1447.65,1453.5,INE258A01016
500049,BHARAT ELECT,A ,Q,171.1,171.65,167.7,169.4,INE263A01024
500052,BHANSALI ENG,B ,Q,169.5,176.55,164,169.75,INE922A01025
500055,BHUSH STEEL ,B ,Q,49.15,53.6,47.95,51.2,INE824B01021
500058,BIHAR SPONGE,XT,Q,2.46,2.58,2.37,2.58,INE819C01011
500059,BINANI IND. ,T ,Q,101.85,111.45,101.85,104.6,INE071A01013
500060,BIRLACABLE  ,T ,Q,54,55.2,53.35,55.1,INE800A01015
500067,BLUE STAR   ,A ,Q,730.65,767.85,730.65,752,INE472A01039
500068,DISA INDIA  ,X ,Q,6000,6049.9,6000,6000.2,INE131C01011
500069,BNK CAPITAL ,X ,Q,128.1,128.1,125.05,125.3,INE418C01012
500074,BPL LTD.    ,B ,Q,100.5,105.7,100.35,101.95,INE110A01019
500078,CAMPH.& ALL ,X ,Q,1119.9,1120,1071,1106.95,INE959C01015
500083,CENTURY EXT ,B ,Q,6.82,6.82,6.25,6.43,INE281A01026
500084,CESC LTD.   ,A ,Q,1047.1,1074.35,1047.1,1054.9,INE486A01013
500085,CHAMBAL FERT,A ,Q,155.5,162.45,153.8,160.4,INE085A01013
500086,EXIDE IND.  ,A ,Q,226,227.75,220.5,223.8,INE302A01020
500087,CIPLA LTD.  ,A ,Q,606.55,608.75,587.1,587.45,INE059A01026
500089,DIC INDIA   ,B ,Q,546.7,556.95,540,556.95,INE303A01010
500092,CRISIL LTD  ,A ,Q,1943.9,1951.2,1930,1944.3,INE007A01025
500093,CGPOWER     ,A ,Q,91.5,91.95,90.35,91.1,INE067A01029
500096,DABUR (I)   ,A ,Q,358,360.9,347.25,354.35,INE016A01026
500097,DALMIASUG   ,B ,Q,102,107.8,102,106.2,INE495A01022
500101,ARVIND Ltd  ,A ,Q,424.9,430,406,411.95,INE034A01011
500102,BALARPUR IND,B ,Q,14.85,16.3,14.85,15.7,INE294A01037
500103,BHEL        ,A ,Q,101.1,103.5,99.15,100.25,INE257A01026
500104,HIND.PETRO  ,A ,Q,394.95,401,388.2,396.5,INE094A01015
500106,IFCI LTD    ,A ,Q,28.65,29.05,27.95,28.5,INE039A01010
500108,MAHA.TELE   ,B ,Q,25.9,25.9,24.7,25.15,INE153A01019
500109,MRPL        ,A ,Q,130,130,126.25,128.2,INE103A01014
500110,CHENNAI PET.,A ,Q,420,423,412.2,413.5,INE178A01016
500111,REL.CAP.    ,A ,Q,499.1,510.35,484.2,490.2,INE013A01015
500112,STATE BANK  ,A ,Q,313,316.45,307.65,312.75,INE062A01020
500113,STEEL AUTH. ,A ,Q,90.9,91.25,87.6,88.9,INE114A01011
500114,TITAN       ,A ,Q,884,885,861.05,869.05,INE280A01028
500116,IDBI BANK L ,A ,Q,60.5,62.15,59.95,60.35,INE008A01015
500117,DCW LTD.    ,T ,Q,39.85,40.9,39.25,39.7,INE500A01029
500119,DHAMPUR SUGA,B ,Q,185.65,192.05,185,190.05,INE041A01016
500120,DIAMINES&CHM,X ,Q,112,113.45,107,111.5,INE591D01014
500123,ELANTAS     ,B ,Q,2222,2315,2180,2262.7,INE280B01018
500124,DR.REDDY'S  ,A ,Q,2300,2305,2205,2225.25,INE089A01023
500125,E.I.D.PAR   ,A ,Q,326.45,337.4,321.3,328.65,INE126A01031
500126,MERCK LTD   ,B ,Q,1500,1500,1451,1468.45,INE199A01012
500128,ELEC.CASTING,B ,Q,34,34.75,33.6,34.1,INE086A01029
500132,EMPEE SUGARS,X ,Q,4.58,4.59,4.21,4.57,INE928B01012
500133,ESAB INDIA  ,B ,Q,796.1,796.1,766,771.3,INE284A01012
500135,ESSEL PROP  ,B ,Q,289.3,290.05,282.3,284.95,INE255A01020
500136,ESTER INDUS.,B ,Q,74,74,70.3,74,INE778B01029
500139,FEDDERELEC  ,B ,Q,79.8,86,77.4,79.65,INE249C01011
500141,FERRO ALLOYS,XT,Q,12.5,12.7,11.8,12.4,INE912A01026
500144,FINOL. CABLE,A ,Q,728,740.05,718.5,731.2,INE235A01022
