Scheme Code,ISIN Div Payout/ ISIN Growth,Scheme Name,Net Asset Value
120518,INF209KA1LH3,Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Dividend,216.86
120517,INF209K01ZC0,Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Growth,810.94
103154,INF209K01BS7,Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend,151.06
103155,INF209K01BT5,Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Growth,769.79
131671,INF084M01DK3,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Dividend Option,22.76
131670,INF084M01DJ5,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,53.06
131665,INF084M01AC6,Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Dividend Option,21.79
131666,INF084M01AB8,Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,50.94
135765,INF846K01WP8,Axis Children's Gift Fund - Lock in - Direct Dividend,13.1975
135762,INF846K01WO1,Axis Children's Gift Fund - Lock in - Direct Growth,13.1985
135760,INF846K01WK9,Axis Children's Gift Fund - Lock in - Dividend,12.7516
135759,INF846K01WJ1,Axis Children's Gift Fund - Lock in - Growth,12.7459
135763,INF846K01WS2,Axis Children's Gift Fund - without Lock in - Direct Dividend,13.1975
135764,INF846K01WR4,Axis Children's Gift Fund - without Lock in - Direct Growth,13.2954
135761,INF846K01WN3,Axis Children's Gift Fund - without Lock in - Dividend,12.7503
135766,INF846K01WM5,Axis Children's Gift Fund - without Lock in - Growth,12.7446
120523,INF846K01ET8,Axis Triple Advantage Fund - Direct Plan - Dividend Option,16.909
120524,INF846K01EV4,Axis Triple Advantage Fund - Direct Plan - Growth Option,19.6403
113065,INF846K01776,Axis Triple Advantage Fund - Dividend Option,15.1683
113064,INF846K01768,Axis Triple Advantage Fund - Growth Option,18.5975
125112,INF955L01DB5,Baroda Pioneer Balance Fund - Plan A - Bonus Option,43.5
101913,INF955L01682,BARODA PIONEER BALANCE FUND - Plan A - Dividend Option,18.83
